093000243PAAPL            @ TI00000007000005496300 000000000000008619N 
093000243PAAPL            @FTI00000006000005496300 000000000000008620N 
093000245PAAPL            @FT 00000010000005496400 000000000000008631N 
093000245PAAPL            @FTI00000004000005496400 000000000000008632N 
093000250QAAPL            @ TI00000004100005497000 000000000000008639N 
093000292QAAPL            T   00000010000005496100 000000000000008714N 
093000292QAAPL            T   00000010000005495900 000000000000008715N 
093000293ZAAPL            I   00000001800005497200 000000000000008716N 
093000294PAAPL            @FTI00000007000005496000 000000000000008717N 
093000294PAAPL            @FTI00000003000005495800 000000000000008718N 
093000309QAAPL            @O X00010215200005497000 000000000000008758N 
093000310QAAPL            Q   00010215200005497000 000000000000008759N 
093000318KAAPL            I   00000001000005495000 000000000000008764N 
093000319KAAPL                00000010000005494700 000000000000008766N 
093000321QAAPL            @F I00000001000005496900 000000000000008776N 
093000325ZAAPL                00000010000005496200 000000000000008788N 
093000325QAAPL            I   00000001000005496200 000000000000008790N 
093000327QAAPL            I   00000002000005496200 000000000000008791N 
093000328QAAPL            I   00000000500005496200 000000000000008792N 
093000329QAAPL            @F I00000000300005496200 000000000000008794N 
093000343QAAPL            @F I00000006200005496200 000000000000008832N 
093000344QAAPL            @F I00000001300005496200 000000000000008833N 
093000357DAAPL                00000010000005497500 000000000000008847NN
093000368QAAPL            @F I00000000500005496200 000000000000008876N 
093000368QAAPL            @F I00000009500005496000 000000000000008877N 
093000368KAAPL                00000010000005497400 000000000000008882N 
093000369DAAPL            I   00000000500005497500 000000000000008887NQ
093000372PAAPL            T   00000010000005497000 000000000000008906N 
093000376KAAPL            I   00000001800005497500 000000000000008913N 
093000387DAAPL                00000010000005496750 000000000000008931NQ
093000394ZAAPL            @F  00000010000005496000 000000000000008952N 
093000395QAAPL            @F I00000000500005496000 000000000000008956N 
093000395QAAPL            @F I00000001900005496000 000000000000008957N 
093000396PAAPL            @FTI00000009000005495800 000000000000008958N 
093000397QAAPL            @F I00000002000005495800 000000000000008959N 
093000401QAAPL            @F  00000013100005495600 000000000000008980N 
093000414QAAPL            @F I00000006900005495600 000000000000009005N 
093000414QAAPL            @F I00000001000005495500 000000000000009006N 
093000414QAAPL            @F I00000001100005495200 000000000000009007N 
093000414QAAPL            @F I00000001000005495100 000000000000009008N 
093000417PAAPL            @FTI00000006000005494400 000000000000009021N 
